a,b,c,d,e,f,g,h
Indian Defence Ministry Seals ₹2.87 Billion Contract For Spike Anti-tank Missiles | UPSC,https://www.youtube.com/watch?v=KoIUbtsRjqE,10131,Education,16M59S,10131,2023-09-05,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Toy Park in YEIDA (UP) to Surpass China in Production | UPSC,https://www.youtube.com/watch?v=B42MuAfa9k8,9058,Education,11M9S,9058,2023-09-05,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
ODISHA Current Affairs 2023 l August CA 2023 for Odisha PCS l Dr Vipan Goyal @StudyIQPCSofficial,https://www.youtube.com/watch?v=dddhB6sQTVA,0,Education,42M33S,0,2023-09-05,👉 Odisha PSC (Pre + Mains) Live Foundation 2024 Batch 2 : https://bit.ly/3KX5zMT👉 Bihar PSC (Pre + Mains) Live Foundation 2024 Batch 4 : https://bit.ly/3qE...
India May Be Renamed Bharat: Govt to Bring Resolution in Parliament | PM Modi | BJP | UPSC,https://www.youtube.com/watch?v=AA6wIiCH-jQ,231928,Education,12M56S,231928,2023-09-05,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Udhayanidhi Stalin's Sanatana Dharma Row: 2024 Elections & Anti-Caste & religion Views | UPSC,https://www.youtube.com/watch?v=qkmMtOv1fdY,67368,Education,16M26S,67368,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
How Ola Electric is challenging Global EV Market? Ola Vs Tesla | UPSC Mains,https://www.youtube.com/watch?v=5lmToaQz5XQ,20782,Education,22M52S,20782,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India Almost Lost Kolkata to Pak That Day! | Untold History,https://www.youtube.com/watch?v=IoROzWRVSd4,1,Education,17M45S,1,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
"South Africa: Overview | History, Geography, Economy, Polity | World Countries",https://www.youtube.com/watch?v=NhIFEjcdFmo,7118,Education,20M59S,7118,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
World's Largest Crater and it's Link to Mass Extinction | Geography Optional | StudyIQ,https://www.youtube.com/watch?v=lF5TC8eS9yY,2121,Education,33M13S,2121,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Environment & Ecology Series | Lec 19 Radioactive & Mining Pollution & Environmental Issues on India,https://www.youtube.com/watch?v=hFt9NhJOpYY,2467,Education,43M54S,2467,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Daily Current Affairs for UPSC CSE Exam | 4 September 2023 | StudyIQ Current Affairs | UPSC,https://www.youtube.com/watch?v=C0y2A_3U8aE,3687,Education,26M21S,3687,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Why China is Afraid of Facing G20? | GeoPulse | Shivani Tripathi | StudyIQ IAS,https://www.youtube.com/watch?v=gJx7iwVn4Wk,5483,Education,8M4S,5483,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
How Ashok Leyland Stallion became Backbone of Indian Army? UPSC Mains,https://www.youtube.com/watch?v=1fymjCalwX0,45188,Education,11M50S,45188,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Where is Underworld Don Dawood Ibrahim | Pakistan | Mumbai Underworld,https://www.youtube.com/watch?v=Rkaes0ZQPCo,54191,Education,21M21S,54191,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Indian-Origin Former Minister Wins Singapore Presidential Election | UPSC,https://www.youtube.com/watch?v=WggOGpxs31M,90688,Education,11M7S,90688,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India's Moon Lander Vikram Hopped & Soft Landed Again | UPSC,https://www.youtube.com/watch?v=DcRZiJxjNHM,389271,Education,10M54S,389271,2023-09-04,India's Moon Lander Vikram Hopped & Soft Landed Again | UPSCUPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Start...
"Sri Lanka: Island Nation Overview | Culture, Geography, History, Tourism | World Countries | UPSC",https://www.youtube.com/watch?v=1Ot6lR5Efe4,9228,Education,20M29S,9228,2023-09-04,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Pirola COVID-19 Variant: Is it More Dangerous than Previous Variants? | UPSC,https://www.youtube.com/watch?v=hmATHpOfoWA,98657,Education,11M21S,98657,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Science & Technology in News: Weekly Compilation | (27 August - 2 September 2023) | UPSC CSE 2024,https://www.youtube.com/watch?v=2EcPEZHP5hc,6501,Education,32M25S,6501,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Why Bangladesh is Boiling Before the Elections? | GeoPulse | Bangladesh Elections I StudyIQ IAS,https://www.youtube.com/watch?v=O4JEo0sHVZY,7949,Education,11M3S,7949,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India’s Lethal Astra Missile | How China & Pak are worried about it? UPSC Mains GS3,https://www.youtube.com/watch?v=T7dLeEWpvdo,56067,Education,6M10S,56067,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India's unreal plan to defend borders with China | Aksai Chin | Ladakh | LAC,https://www.youtube.com/watch?v=0BkzoXXH3Ao,221303,Education,14M13S,221303,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India keeps its water delivery promise | Har Ghar Jal Details | Govt. Schemes | UPSC,https://www.youtube.com/watch?v=gCKthUAOZ7k,5372,Education,7M55S,5372,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Xi Jinping to Skip G20 Summit in New Delhi | UPSC,https://www.youtube.com/watch?v=Rr4nxSj2nII,104272,Education,11M57S,104272,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Presidential vs Prime Ministerial form of Government | Detailed Analysis | GS 2 I UPSC,https://www.youtube.com/watch?v=75TBlXxQR_g,5150,Education,19M38S,5150,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
'Electric shock': Pakistan into crisis again as thousands protests in POK | UPSC,https://www.youtube.com/watch?v=LaJYN717cpw,161719,Education,11M41S,161719,2023-09-03,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Why Gilgit Baltistan is Desperate to Join India? Gilgit Baltistan Protest | UPSC Mains,https://www.youtube.com/watch?v=pTkmXjt7yhg,385562,Education,20M58S,385562,2023-09-02,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Daily Current Affairs for UPSC CSE Exam | 2 September 2023 | StudyIQ Current Affairs | UPSC,https://www.youtube.com/watch?v=SXM4VvaW50Y,5985,Education,32M35S,5985,2023-09-02,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
NEWS@9 Weekly Compilation (28 August- 01 September) : Important Current News | StudyIQ IAS Hindi,https://www.youtube.com/watch?v=SJqFzBAhYr8,4119,Education,28M50S,4119,2023-09-02,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Environment & Ecology in News: Weekly Compilation ( 27 August - 2 September 2023) | UPSC CSE 2024,https://www.youtube.com/watch?v=Wnc4zNJWElE,4119,Education,35M11S,4119,2023-09-02,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
China's psychological war against India | GS 2 | UPSC,https://www.youtube.com/watch?v=JevMYspT1Is,12122,Education,16M36S,12122,2023-09-02,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
